NEWS TITLE,NEWS LINK,SOURCE,CONTENTS
"Olugbenga Edema dumps APC, elected NNPP governorship candidate in Ondo",https://www.thecable.ng/olugbenga-edema-dumps-apc-elected-nnpp-governorship-candidate-in-ondo/,TheCable,"Olugbenga Edema, a former governorship aspirant of the All Progressives Congress (APC) in Ondo, has defected to the New Nigeria Peoples Party (NNPP).

The state governorship election is slated to take place on November 16.

In April, allegations of irregularities trailed the conduct of the APC primary election in the state, which resulted in the victory of Lucky Aiyedatiwa as the party’s flagbearer.

Edema was among the party’s aspirants who kicked and alleged that the election didn’t take place in most parts of the state.

Edema announced his exit from the ruling party on Wednesday in Akure, the state capital, and was subsequently elected as the substitution candidate for the NNPP ahead of the governorship election.
Prior to the event, Ayeni Oluwatosin, then NNPP governorship candidate, had voluntarily withdrawn his candidacy from the election.
In a letter, Oluwatosin said his withdrawal was in the interest of the party.
“I, Ayeni, Oluwatosin Israel, a governorship candidate of the NNPP for the November 16, 2024, election in Ondo State, hereby voluntarily withdraw my candidacy from the contest. My withdrawal is in the best interest of our great party, NNPP,” the letter reads.
"
Odinkalu named pro-chancellor as Soludo appoints governing council for Ojukwu varsity,https://www.thecable.ng/soludo-names-odinkalu-as-pro-chancellor-appoints-governing-council-for-ojukwu-varsity/,TheCable,"Chukwuma Soludo, governor of Anambra state, has appointed a governing council for Chukwuemeka Odumegwu Ojukwu University (COOU).
Soludo appointed Chidi Odinkalu, a former chairman of the National Human Rights Commission (NHRC), as pro-chancellor of the university, and Bianca Ojukwu, a former ambassador and widow of the late Chukwuemeka Ojukwu, as a member of the council.
Other members of the council are Ifeoma Ekwueme, Christopher Ndubuisi, and Oranu Chidume.
In a statement by Christian Aburime, the governor’s media aide, Soludo said the new council is assembled with a focus on excellence, integrity, and strategic leadership.
He said the council is expected to provide guidance and oversight for the continued growth and development of the state-owned university.
On May 9, the governor appointed a five-member governing council for the Nwafor Orizu College of Education in Nsugbe.
"
Police arrest ‘ex-convict posing as military officer’ in Akwa Ibom,https://www.thecable.ng/police-arrest-ex-convict-posing-as-military-officer-in-akwa-ibom/,TheCable,"The police command in Akwa Ibom has arrested Eddiong Matthew for impersonating a military officer.
Timfon John, spokesperson for the police command, said operatives on crime prevention patrol arrested the 35-year-old suspect on Thursday.
The spokesperson said preliminary investigations revealed that the suspect is an ex-convict linked to a series of crimes in the state using a military uniform.
John said a walkie-talkie, cell phones, a brown coverall dress, and ID cards suspected to have been stolen from victims were recovered from him.
The spokesperson said the suspect would be charged in court as soon as investigations are concluded.
Last month, the Economic and Financial Crimes Commission (EFCC) arraigned David Ikeaghichi for allegedly impersonating an Afghanistan soldier to commit internet fraud.
He was arraigned in the federal high court in Port Harcourt, Rivers state capital, on a two-count charge bordering on obtaining money under false pretense.



"
"JUST IN: I remain LP member, says Obi amid ‘Obidients directorate’ controversy",https://www.thecable.ng/just-in-i-remain-lp-member-says-obi-amid-obidients-directorate-controversy/,TheCable,"Peter Obi, presidential candidate of the Labour Party (LP) in the 2023 elections, says he remains committed to the party.
On Wednesday, Obi criticised the decision of the party to appoint directors to coordinate the registration of all members of the ‘Obedient’ community and “integrate them fully into the structure of the party”.
He said the “Obidient movement” is not a directorate of any political party.
The party subsequently announced that it has renamed the “Obidient directorate” to the directorate of mobilisation and integration.
In a statement shared on X on Thursday, the former governor of Anambra said he is a loyal party member working towards reconciling disgruntled members to the party.
“For the avoidance of doubt, ‘I remain a committed, Loyal Labour Party member’. That is my definitive response to all Nigerians who may be in doubt about my party affiliation in the light of recent reports and conflicting interpretations of recent political expressions,” Obi wrote.
“I remain a faithful, committed and loyal member of the Labour Party. Indeed as a Leader of the party, my aspiration, and desire to work closely with other Leaders is to reconcile our valued members, and partner with like minds and parties all over the country to build a strong and better Party that will catalyze and commence the rebuilding of a new Nigeria.
“My statement yesterday was intended to clarify some issues that are of concern to our teeming supporters some of whom are not members of any political party but are desirous for a new Nigeria.”
"
"‘Without workers, no work can take place’ — labour defends shutting down national grid",https://www.thecable.ng/without-workers-no-work-can-take-place-labour-defends-shutting-down-national-grid/,TheCable,"The Nigeria Labour Congress (NLC) has defended its decision to shut down the national grid as part of the ongoing nationwide indefinite strike over the new minimum wage.
On Friday, the NLC and the Trade Union Congress (TUC) declared an indefinite strike over the federal government’s refusal to increase the minimum wage.
The strike commenced on Monday with total compliance by all government institutions across the country.
As a result, the Transmission Company of Nigeria (TCN) said the labour union shut down the national grid at about 2:19 am, resulting in a blackout across the country.
Ndidi Mbah, TCN’s general manager, said workers at the Benin Transmission Operator were sent away from the control room and beaten by the protesters.
In a statement issued on the shutting down of the national grid, Joe Ajaero, president of the NLC, said the federal government has abused workers’ restraint.
“It is important that we address the press statement by the Transmission Company of Nigeria where they made false claims regarding the indefinite nationwide strike declared by the Nigeria Labour Congress and Trade Union Congress,” the statement reads.
“The Transmission Company of Nigeria should understand that the company is not the only one impacted by the massive withdrawal of service across the nation by Nigerian workers.
“It should therefore not make it a TCN affair, as other organisations also suffer from one breakdown in service or the other as a result of the nationwide industrial action.
“The management of TCN ought to have realised that the NLC and TUC issued a notice to the Federal Government since the beginning of May 2024 on the issues of non-completion of the National Minimum Wage negotiation exercise and passage into law and the vexatious hike in electricity tariff.
“We had demanded the completion of the wage-setting process and a reversal of the hike in the electricity tariff back to N66/kWh without any positive response from the government.
“One wonders whether TCN’s management needs education on the dynamics of industrial action. It is not true that we manhandled anybody in any TCN location.
“Maybe TCN, in its effort to scuttle the strike, tried to force workers to be at work, not realising the resolve of all workers to stay away. Why would the grid not go down when the workers who operate them decide to withdraw their service? That is how it works, and it further demonstrates that without workers, no wheel can turn and no work can take place anywhere.
“Nigerian workers, led by the NLC and TUC, have exercised due caution and unusual patience in our engagement with our social partners, and this restraint has been grossly abused, unfortunately, which has led us to the present impasse.
“Trying to buck-pass instead of accepting blame and taking the necessary steps to put its house in order will not allow the Transmission Company of Nigeria to make discernible progress.
“We would like the organisation to take adequate measures to ensure that it discharges its responsibilities to Nigerians, especially in the electricity sector, instead of dissipating its energy on trying to insult Nigerian workers by its deliberate peddling of falsehood.
“We have been duly informed that the TCN management has resorted to the use of the military in its effort to intimidate and harass workers in its employ who are carrying out their lawful and democratic duties at various TCN plants around Nigeria.”
Ajaero said the management of TCN would be held liable for any injury inflicted on any worker by its resort to the use of the powers of the military.
“It is also important that we inform TCN that deploying military men to its locations is a clear abuse and insult to the military, especially in a democracy,” the NLC president said.
“We are sure that members of the military so misused by this deployment are not happy with the management and the authorities who have authorised the deployment.
“The NLC and TUC remain steadfast in their commitment to the emancipation of downtrodden Nigerians and will persist in the struggle for a fair and just living wage, as well as the reversal of the excessive electricity tariff hike.
“We call on all Nigerians to stand in solidarity with us as we demand the implementation of policies that prioritize the well-being of the people. We will not back down, and we will not give in to any blackmail, intimidation, or harassment.”



"
"Troops ‘rescue’ 33 hostages, ‘kill six terrorists’ in Sambisa forest",https://www.thecable.ng/troops-rescue-33-hostages-kill-six-terrorists-in-sambisa-forest/,TheCable,"Troops of operation Hadin Kai in Borno state have killed six suspected terrorists and rescued 33 hostages in the Sambisa forest.
Zagazola Makama, a counter-insurgency publication focused on the Lake Chad region, reports that the rescued people comprise one male adult, three female adults, and 29 children.
A source who spoke with the publication said the combined troops of 21 armoured brigade and special forces, assisted by a hybrid force and the civilian joint task force (CJTF), raided the terrorists’ enclaves on May 29.
“The offensive was launched under operation Desert Sanity III and achieved a spectacular victory on May 29, 2024, when they invaded the Boko Haram/ISWAP enclaves of Parisu and Aulari in the Forest,” Zagazola quoted a military source as saying.
“Contact was made with the terrorists, which resulted in a heavy gun battle.
“The troops overwhelmed the terrorists and neutralised them instantly, while others escaped with bullet wounds.”
The troops also recovered weapons used by the fleeing terrorists, including AK-47 rifles.
Meanwhile, on Thursday, Samuel Aruwan, commissioner for internal security in Kaduna, said the troops of the Nigerian Army of division 1 and operation Whirl Punch killed six terrorists and arrested three others in a special operation in Giwa LGA of the state.

"
IPOB lawyer to south-east governors: Declare May 30 as public holiday,https://www.thecable.ng/ipob-lawyer-to-south-east-governors-declare-may-30-as-public-holiday/,TheCable,"Ifeanyi Ejiofor, lead counsel of the Indigenous People of Biafra (IPOB), has implored governors of states in the south-east to declare May 30 as public holiday in commemoration of ‘Biafra Day’.
On May 30, 1967, Chukwuemeka Ojukwu, former governor of the eastern region, declared secession of Biafra Republic from Nigeria.
The declaration led to the civil war that started on July 6, 1967, and ended on January 15, 1970.
In a statement issued on Thursday, Ejiofor said the governors of the five states in the south-east should set aside May 30 in honour of fallen Biafran soldiers. 
Ejiofor added that the federal government should “unconditionally release genuine Biafran agitators who are being held in various detention facilities” across the country.
He said this would go a long way in moderating the resentment of the “marginalised Biafrans” and would help restore a sense of reintegration in the Nigerian project.
“May 30th is set aside as a special day to remember and reflect on the death of over five million Biafrans who were genocidally massacred during the three-year Biafra-Nigeria war, which lasted from July 6, 1967 to January 15, 1970,” he said.


“This day is dedicated to honouring our fallen heroes and heroines, not only to remember the cause for which they were brutally killed but also to reflect on how their deaths have impacted the lives of Biafrans, the lessons learned, and the resolutions made since then.
“I use this moment of sober reflection to call on all south-east governors to dedicate May 30th as a public holiday, as a mark of respect and honour for Biafran fallen heroes.
“It is not asking too much to remember and commemorate Biafran heroes and heroines by declaring this date a public holiday across Biafraland.”
Roads were deserted across the south-east on Thursday, May 30, 2024, after IPOB ordered a sit-at-home in the region.

"
PHOTOS: Hunters stand guard as Sanusi remains in palace despite court order ,https://www.thecable.ng/photos-hunters-stand-guard-as-sanusi-remains-in-palace-despite-court-order/,TheCable,"Security agents, including police officers, hunters, and vigilantes, are standing guard at the palace of the Emir of Kano.
On Thursday, Abba Yusuf, governor of Kano, announced the reinstatement of Muhammadu Sanusi as the Emir of Kano.
Yusuf reinstated Sanusi shortly after he signed the bill abolishing the five emirates created in 2019.
In March 2020, Abdullahi Ganduje, former governor of Kano, deposed Sanusi as Emir of Kano “for total disrespect to lawful instructions from the office of the governor”.
On Thursday, the state legislators passed the amended Kano State Emirate Council (Repeal) Bill 2024.
The new emirate law stipulated the sack of all the emirs in the jurisdictions and a restoration of the old order.
Only one Emir will now be overseeing all of Kano.
With the announcement, the governor dethroned Aminu Ado Bayero, who was away in Ogun state on an official assignment, as the Emir.
The development has created tension in Kano.
When TheCable visited the Emir’s palace on Saturday night, the security details of the governor were seen there.
It was believed that the governor, some commissioners, and other political appointees were with the new Emir at the time of this report.
On his return to the state on Saturday, the deposed Emir moved into another palace in Nassarawa LGA.
The place was heavily guarded by men of the Nigerian Army, operatives of the Department of State Services (DSS), and police officers at the time of the visit by TheCable.
The former Emir’s official car was spotted as his supporters trooped into the mini palace to pay homage.



"
Imo chief judge: Nigerians losing confidence in judiciary,https://www.thecable.ng/imo-chief-judge-nigerians-losing-confidence-in-judiciary/,TheCable,"Theresa Chikeka, the chief judge of Imo, says citizens are losing confidence in the nation’s judiciary.
Speaking during the second law week of the Mbano-Etiti branch of the Nigerian Bar Association (NBA) held on Friday, the judge said the public perception of the judiciary is depreciating.
The chief judge was represented at the event by L. C. Azuama.
“I feel concerned about the downward swing of our judicial system, especially as it has to do with the perception of the populace,” she said.
“The judiciary, being the last hope of the common man, ought to maintain such confidence reposed in it by the populace as indeed its mouthpiece.
“In the eyes of the public, the judiciary may have failed, but the question is if we are ready to rediscover and redeem its image by assuring all Nigerians that all hope is not lost.”
Chikeka said despite the challenges facing the judiciary, the institution is filled with brilliant professionals who could make a permanent difference.
Earlier this month, Peter Obi, presidential candidate of the Labour Party (LP) in the 2023 elections, said the judiciary is the biggest threat to the nation’s democracy.
The former Anambra governor added that justice in Nigeria “goes to the highest bidder” and has become “commodified”.


"
Datti Baba-Ahmed to Soyinka: Obi can’t control ‘Obidients’ — respect yourself first,https://www.thecable.ng/datti-baba-ahmed-to-soyinka-obi-cant-control-obidients-respect-yourself-first/,TheCable,"Datti Baba-Ahmed, vice-presidential candidate of the Labour Party (LP) in the 2023 election, has taken umbrage at the remarks of Wole Soyinka, the Nobel laureate.
Baba-Ahmed said Soyinka’s comments on Peter Obi, presidential candidate of the LP in the last poll, should be dismissed as a distraction.
In an interview with Noble Eyisi, Soyinka said Obi should not vie for the presidency in 2027 because he is “unfit” to lead Nigeria.
Soyinka had accused Obi of encouraging the online vitriol often lobbed by his supporters — who are called ‘Obidients’.
In an interview on Arise Television, Baba-Ahmed said the Nobel laureate should rather respect himself instead of waiting for Obi to control the actions of his supporters.
The former senator said Obi would not join issues with Soyinka, adding that “intellect does not give one a right to insult anybody”.
“The learned elder statesman is scared in advance about what good Peter Obi would bring to Nigeria. He’s scared that the end is looking very likely for his principal, for bad governance,” Baba-Ahmed said.
“What Soyinka is doing now is an attempted distraction. 
“Nobel laureates all over the world are loved and cherished by their people, not just their nationals but globally. I have never heard where Nobel laureates are insulted in the way that Wole Soyinka is. 
“There is no way Peter Obi, with all the issues in front of him and my humble self, can control Obidients.
“Peter Obi entered a canoe without a life jacket and he paid for it. It is not the work of Peter Obi to control the Obidients, it is the responsibility of Wole Soyinka to maintain his respect and dignity.
“In the presence of all these politics, decent Nigerians should continue to offer respect to others.
“All he is trying to do is an attempted distraction which Peter Obi and I have excused ourselves from. We will not react to that Nobel laureate.
“What is Wole Soyinka at a time when the Nigerian armed forces are killing Nigerians by mistake? At a time when our currency is hopelessly depreciating and so many other issues.”
In 2023, Soyinka accused Baba-Ahmed of “fascistic language” and “threatening the judiciary” after the LP vice-presidential candidate said Bola Tinubu would be leading an unconstitutional government if sworn in as president.
Baba-Ahmed had maintained that the APC candidate did not “meet requirements of the law”.



"
